date,value
2026-01-02,2938.0
2026-01-05,3010.0
2026-01-06,3053.75
2026-01-07,2993.75
2026-01-08,3001.25
2026-01-09,3037.0
2026-01-12,3086.25
2026-01-13,3102.75
2026-01-14,3086.75
2026-01-15,3069.5
2026-01-16,3034.75
2026-01-20,3015.75
2026-01-21,3032.25
2026-01-22,3060.75
2026-01-23,3097.5
2026-01-26,3137.0
2026-01-27,3111.5
2026-01-28,3165.75
2026-01-29,3138.5
2026-01-30,3034.5
2026-02-02,2926.75
2026-02-03,3015.0
2026-02-04,2973.25
2026-02-05,2925.25
2026-02-06,3004.0
2026-02-09,3028.75
2026-02-10,3001.0
2026-02-11,3023.0
2026-02-12,3026.75
2026-02-13,3015.75
2026-02-17,2971.5
2026-02-18,3017.0
2026-02-19,2992.5
2026-02-20,3021.75
2026-02-23,3014.75
2026-02-24,3020.75
2026-02-25,3081.75
2026-02-26,3071.75
2026-02-27,3044.25
2026-03-02,3109.25
2026-03-03,3165.75
2026-03-04,3279.75
2026-03-05,3215.75
2026-03-06,3327.5
2026-03-09,3292.0
2026-03-10,3322.0
2026-03-11,3369.5
2026-03-12,3464.0
2026-03-13,3383.25
2026-03-16,3289.5
2026-03-17,3291.5
2026-03-18,3282.25
2026-03-19,3119.75
2026-03-20,3102.0
2026-03-23,3076.0
2026-03-24,3138.0
2026-03-25,3135.0
2026-03-26,3161.5
2026-03-27,3187.5
2026-03-30,3336.25
2026-03-31,3405.5
2026-04-01,3452.25
2026-04-02,3411.0
2026-04-06,3422.0
2026-04-07,3396.75
2026-04-08,3374.25
2026-04-09,3373.75
2026-04-10,3429.75
2026-04-13,3582.0
2026-04-14,3572.75
2026-04-15,3613.75
2026-04-16,3647.75
2026-04-17,3596.75
2026-04-20,3546.0
2026-04-21,3555.25
2026-04-22,3599.0
2026-04-23,3616.75
2026-04-24,3554.0
