date,value
2026-01-02,13590.6044921875
2026-01-05,13382.6259765625
2026-01-06,14036.5595703125
2026-01-07,14222.5400390625
2026-01-08,14174.544921875
2026-01-09,14214.541015625
2026-01-12,14118.55078125
2026-01-13,14006.5625
2026-01-14,14344.52734375
2026-01-15,14024.560546875
2026-01-16,14050.5576171875
2026-01-19,13888.57421875
2026-01-20,13518.6123046875
2026-01-21,13336.630859375
2026-01-22,13558.6083984375
2026-01-23,13578.6064453125
2026-01-26,13750.5888671875
2026-01-27,13878.5751953125
2026-01-28,13506.61328125
2026-01-29,13458.6181640625
2026-01-30,13598.6044921875
2026-02-02,14038.55859375
2026-02-03,13814.58203125
2026-02-04,13794.583984375
2026-02-05,13978.5654296875
2026-02-06,14102.552734375
2026-02-09,13886.57421875
2026-02-10,14162.5458984375
2026-02-11,14816.4794921875
2026-02-12,14904.4697265625
2026-02-13,15116.4482421875
2026-02-16,15158.4443359375
2026-02-17,15520.4072265625
2026-02-18,15540.404296875
2026-02-19,15290.0
2026-02-20,15270.0
2026-02-23,15344.0
2026-02-24,15326.0
2026-02-25,15218.0
2026-02-26,15110.0
2026-02-27,15542.0
2026-03-02,15252.0
2026-03-03,14932.0
2026-03-04,15088.0
2026-03-05,14774.0
2026-03-06,14500.0
2026-03-09,14442.0
2026-03-10,14654.0
2026-03-11,14484.0
2026-03-12,14364.0
2026-03-13,14380.0
2026-03-16,14364.0
2026-03-17,14402.0
2026-03-18,14276.0
2026-03-19,14112.0
2026-03-20,13896.0
2026-03-23,13742.0
2026-03-24,13810.0
2026-03-25,13990.0
2026-03-26,13830.0
2026-03-27,14302.0
2026-03-30,14702.0
2026-03-31,14756.0
