date,value
2025-01-01,75416.3671875
2025-01-02,78262.0234375
2025-01-03,78972.4609375
2025-01-04,79076.140625
2025-01-05,79128.6953125
2025-01-06,81597.34375
2025-01-07,77686.5546875
2025-01-08,76905.0390625
2025-01-09,75198.21875
2025-01-10,77541.5546875
2025-01-11,77466.0234375
2025-01-12,77426.2890625
2025-01-13,77272.7421875
2025-01-14,79055.9765625
2025-01-15,82092.7734375
2025-01-16,81529.921875
2025-01-17,85786.3203125
2025-01-18,85801.921875
2025-01-19,83030.453125
2025-01-20,82724.8046875
2025-01-21,86032.2890625
2025-01-22,84178.421875
2025-01-23,84154.8203125
2025-01-24,83989.96875
2025-01-25,83875.6953125
2025-01-26,82415.125
2025-01-27,81988.5625
2025-01-28,81452.0546875
2025-01-29,83255.6328125
2025-01-30,84310.765625
2025-01-31,82578.0859375
2025-02-01,81216.734375
2025-02-02,79484.8359375
2025-02-03,81545.171875
2025-02-04,78441.8125
2025-02-05,77287.5234375
2025-02-06,77682.4609375
2025-02-07,77827.25
2025-02-08,77792.734375
2025-02-09,77888.21875
2025-02-10,78833.8046875
2025-02-11,76902.2265625
2025-02-12,78618.9921875
2025-02-13,76901.5859375
2025-02-14,77406.5234375
2025-02-15,77533.9296875
2025-02-16,76424.4296875
2025-02-17,75884.796875
2025-02-18,75678.59375
2025-02-19,76792.453125
2025-02-20,77615.2734375
2025-02-21,76063.5859375
2025-02-22,76463.8984375
2025-02-23,76113.0078125
2025-02-24,72454.84375
2025-02-25,70025.6171875
2025-02-26,66515.890625
2025-02-27,67243.9765625
2025-02-28,67106.4921875
2025-03-01,68425.9140625
2025-03-02,74785.875
2025-03-03,67759.2421875
2025-03-04,68163.796875
2025-03-05,70305.578125
2025-03-06,69827.125
2025-03-07,67182.4609375
2025-03-08,66726.9921875
2025-03-09,62325.8828125
2025-03-10,61000.4375
2025-03-11,64015.9453125
2025-03-12,64578.40625
2025-03-13,62566.14453125
2025-03-14,64881.07421875
2025-03-15,65167.53515625
2025-03-16,63880.83984375
2025-03-17,64753.078125
2025-03-18,63627.56640625
2025-03-19,66758.59375
2025-03-20,64918.0703125
2025-03-21,65054.01171875
2025-03-22,64880.69140625
2025-03-23,66577.6875
2025-03-24,67707.796875
2025-03-25,67572.765625
2025-03-26,67484.4453125
2025-03-27,67311.0078125
2025-03-28,65160.1953125
2025-03-29,63804.07421875
2025-03-30,63635.859375
2025-03-31,63892.1953125
2025-04-01,65910.375
2025-04-02,63237.66796875
2025-04-03,63488.98046875
2025-04-04,65075.87109375
2025-04-05,64744.67578125
2025-04-06,60578.2109375
2025-04-07,62220.49609375
2025-04-08,59643.75
2025-04-09,64393.7265625
2025-04-10,61287.046875
2025-04-11,63755.41015625
2025-04-12,65194.23828125
2025-04-13,63957.08203125
2025-04-14,64173.9296875
2025-04-15,63234.76171875
2025-04-16,63506.66015625
2025-04-17,63998.06640625
2025-04-18,63662.6484375
2025-04-19,64124.45703125
2025-04-20,63966.58203125
2025-04-21,65410.84375
2025-04-22,70404.4453125
2025-04-23,70634.515625
2025-04-24,70488.84375
2025-04-25,71148.921875
2025-04-26,71093.6640625
2025-04-27,70545.5546875
2025-04-28,70695.15625
2025-04-29,70305.25
2025-04-30,70720.765625
2025-05-01,72632.578125
2025-05-02,73012.9140625
2025-05-03,72234.90625
2025-05-04,71065.953125
2025-05-05,71290.046875
2025-05-06,72494.5078125
2025-05-07,73009.15625
2025-05-08,77980.234375
2025-05-09,77397.0859375
2025-05-10,78695.4140625
2025-05-11,78367.6171875
2025-05-12,78017.65625
2025-05-13,78302.5703125
2025-05-14,78058.15625
2025-05-15,77984.328125
2025-05-16,77911.0859375
2025-05-17,77686.5859375
2025-05-18,80001.203125
2025-05-19,79052.140625
2025-05-20,79711.109375
2025-05-21,81723.0
2025-05-22,83215.9140625
2025-05-23,79220.1328125
2025-05-24,79591.8046875
2025-05-25,80541.8203125
2025-05-26,80672.546875
2025-05-27,80652.109375
2025-05-28,80281.359375
2025-05-29,78258.78125
2025-05-30,77263.8671875
2025-05-31,77738.984375
2025-06-01,78443.515625
2025-06-02,78100.015625
2025-06-03,77921.0234375
2025-06-04,77287.59375
2025-06-05,74802.4609375
2025-06-06,77166.1796875
2025-06-07,78071.9140625
2025-06-08,78150.71875
2025-06-09,81369.9140625
2025-06-10,81626.5234375
2025-06-11,80103.671875
2025-06-12,77730.421875
2025-06-13,78209.3046875
2025-06-14,77753.3125
2025-06-15,77812.0078125
2025-06-16,78710.8125
2025-06-17,77890.59375
2025-06-18,78186.8515625
2025-06-19,77679.296875
2025-06-20,76771.5625
2025-06-21,75993.921875
2025-06-22,75166.2421875
2025-06-23,77943.953125
2025-06-24,77887.4453125
2025-06-25,78422.4609375
2025-06-26,77927.2109375
2025-06-27,78047.1171875
2025-06-28,78221.5
2025-06-29,79004.953125
2025-06-30,78025.0546875
2025-07-01,76894.3359375
2025-07-02,79754.4765625
2025-07-03,80233.703125
2025-07-04,79114.1953125
2025-07-05,79258.34375
2025-07-06,80014.2421875
2025-07-07,79492.3046875
2025-07-08,80198.40625
2025-07-09,81869.546875
2025-07-10,85408.5703125
2025-07-11,87076.546875
2025-07-12,87001.890625
2025-07-13,88264.328125
2025-07-14,89253.875
2025-07-15,87935.390625
2025-07-16,88543.0703125
2025-07-17,88814.2734375
2025-07-18,87976.7109375
2025-07-19,87929.5625
2025-07-20,87438.46875
2025-07-21,87060.390625
2025-07-22,88748.96875
2025-07-23,87456.2578125
2025-07-24,87623.9296875
2025-07-25,87565.796875
2025-07-26,87804.1484375
2025-07-27,88888.90625
2025-07-28,88268.828125
2025-07-29,88305.53125
2025-07-30,88888.90625
2025-07-31,87644.703125
2025-08-01,85324.921875
2025-08-02,84721.3984375
2025-08-03,85934.8671875
2025-08-04,86534.6328125
2025-08-05,85831.28125
2025-08-06,86114.1015625
2025-08-07,87350.1328125
2025-08-08,86744.53125
2025-08-09,86664.7890625
2025-08-10,88746.3359375
2025-08-11,88384.7578125
2025-08-12,88984.0703125
2025-08-13,90800.9609375
2025-08-14,87485.484375
2025-08-15,86596.0703125
2025-08-16,86648.6953125
2025-08-17,86641.8359375
2025-08-18,86061.5859375
2025-08-19,83671.6484375
2025-08-20,84865.90625
2025-08-21,83785.0
2025-08-22,86413.4296875
2025-08-23,85317.125
2025-08-24,83989.1953125
2025-08-25,81847.5
2025-08-26,82958.578125
2025-08-27,82358.8203125
2025-08-28,83317.703125
2025-08-29,80274.6484375
2025-08-30,80571.7265625
2025-08-31,80155.34375
2025-09-01,80647.2578125
2025-09-02,83099.7578125
2025-09-03,83121.84375
2025-09-04,82359.7578125
2025-09-05,81902.9765625
2025-09-06,81599.5625
2025-09-07,82390.65625
2025-09-08,82691.6796875
2025-09-09,82490.0
2025-09-10,84204.4609375
2025-09-11,85095.5546875
2025-09-12,85633.2734375
2025-09-13,85521.84375
2025-09-14,85154.1171875
2025-09-15,84878.421875
2025-09-16,85579.453125
2025-09-17,85453.5234375
2025-09-18,86415.0390625
2025-09-19,85848.078125
2025-09-20,85879.0
2025-09-21,85649.71875
2025-09-22,83429.609375
2025-09-23,82824.3046875
2025-09-24,84264.03125
2025-09-25,81774.96875
2025-09-26,81863.0
2025-09-27,81839.9453125
2025-09-28,83626.8984375
2025-09-29,85150.7265625
2025-09-30,84848.6015625
2025-10-01,88047.0
2025-10-02,89749.5703125
2025-10-03,90722.375
2025-10-04,90840.28125
2025-10-05,91950.59375
2025-10-06,92515.3515625
2025-10-07,90497.5546875
2025-10-08,92054.0625
2025-10-09,91488.03125
2025-10-10,84788.84375
2025-10-11,82986.5703125
2025-10-12,86363.2734375
2025-10-13,86459.6484375
2025-10-14,84911.9609375
2025-10-15,82653.7734375
2025-10-16,80471.046875
2025-10-17,79293.796875
2025-10-18,79865.828125
2025-10-19,80944.53125
2025-10-20,82502.7734375
2025-10-21,81161.1015625
2025-10-22,80662.3046875
2025-10-23,82593.234375
2025-10-24,83446.546875
2025-10-25,83903.3359375
2025-10-26,85928.96875
2025-10-27,85543.84375
2025-10-28,85067.1796875
2025-10-29,83408.3828125
2025-10-30,82306.5859375
2025-10-31,83280.9765625
2025-11-01,83667.03125
2025-11-02,84239.90625
2025-11-03,81120.3828125
2025-11-04,78019.796875
2025-11-05,79600.265625
2025-11-06,77090.890625
2025-11-07,78556.4140625
2025-11-08,77727.859375
2025-11-09,79686.40625
2025-11-10,80470.8125
2025-11-11,78312.2734375
2025-11-12,77431.765625
2025-11-13,75799.1015625
2025-11-14,71741.75
2025-11-15,72605.6953125
2025-11-16,71567.796875
2025-11-17,70004.421875
2025-11-18,70692.265625
2025-11-19,70034.6875
2025-11-20,66215.359375
2025-11-21,64944.78515625
2025-11-22,64612.17578125
2025-11-23,66283.5234375
2025-11-24,67351.8515625
2025-11-25,66376.78125
2025-11-26,68342.546875
2025-11-27,68944.828125
2025-11-28,68660.4140625
2025-11-29,68609.4296875
2025-11-30,68277.53125
2025-12-01,65350.34765625
2025-12-02,69100.0390625
2025-12-03,70069.71875
2025-12-04,69164.171875
2025-12-05,67017.3984375
2025-12-06,66920.8046875
2025-12-07,67841.1171875
2025-12-08,68012.515625
2025-12-09,69677.46875
2025-12-10,68731.0
2025-12-11,69072.296875
2025-12-12,67501.9609375
2025-12-13,67528.171875
2025-12-14,65962.96875
2025-12-15,64593.6015625
2025-12-16,65430.59375
2025-12-17,64412.359375
2025-12-18,65809.796875
