date,value
2026-01-02,128500.0
2026-01-05,138100.0
2026-01-06,138900.0
2026-01-07,141000.0
2026-01-08,138800.0
2026-01-09,139000.0
2026-01-12,138800.0
2026-01-13,137600.0
2026-01-14,140300.0
2026-01-15,143900.0
2026-01-16,148900.0
2026-01-19,149300.0
2026-01-20,145200.0
2026-01-21,149500.0
2026-01-22,152300.0
2026-01-23,152100.0
2026-01-26,152100.0
2026-01-27,159500.0
2026-01-28,162400.0
2026-01-29,160700.0
2026-01-30,160500.0
2026-02-02,150400.0
2026-02-03,167500.0
2026-02-04,169100.0
2026-02-05,159300.0
2026-02-06,158600.0
2026-02-09,166400.0
2026-02-10,165800.0
2026-02-11,167800.0
2026-02-12,178600.0
2026-02-13,181200.0
2026-02-19,190000.0
2026-02-20,190100.0
2026-02-23,193000.0
2026-02-24,200000.0
2026-02-25,203500.0
2026-02-26,218000.0
2026-02-27,216500.0
2026-03-03,195100.0
2026-03-04,172200.0
2026-03-05,191600.0
2026-03-06,188200.0
2026-03-09,173500.0
2026-03-10,187900.0
2026-03-11,190000.0
2026-03-12,187900.0
2026-03-13,183500.0
2026-03-16,188700.0
2026-03-17,193900.0
2026-03-18,208500.0
2026-03-19,200500.0
2026-03-20,199400.0
2026-03-23,186300.0
2026-03-24,189700.0
2026-03-25,189000.0
2026-03-26,180100.0
2026-03-27,180100.0
2026-03-30,176300.0
2026-03-31,167200.0
