date,value
2026-01-02,6080.5927734375
2026-01-05,6386.52197265625
2026-01-06,6469.5029296875
2026-01-07,6409.5166015625
2026-01-08,6173.5712890625
2026-01-09,6533.48779296875
2026-01-12,6928.396484375
2026-01-13,7194.3349609375
2026-01-14,7229.32666015625
2026-01-15,7095.35791015625
2026-01-16,6931.39599609375
2026-01-19,7126.3505859375
2026-01-20,7078.36181640625
2026-01-21,7095.35791015625
2026-01-22,7317.306640625
2026-01-23,7777.2001953125
2026-01-26,8079.13037109375
2026-01-27,7775.20068359375
2026-01-28,8221.09765625
2026-01-29,8168.109375
2026-01-30,7376.29296875
2026-02-02,6734.44140625
2026-02-03,6933.3955078125
2026-02-04,7083.36083984375
2026-02-05,6488.49853515625
2026-02-06,6572.47900390625
2026-02-09,6684.453125
2026-02-10,6717.4453125
2026-02-11,6897.40380859375
2026-02-12,6879.40771484375
2026-02-13,6782.43017578125
2026-02-16,6602.47216796875
2026-02-17,6374.52490234375
2026-02-18,6395.52001953125
2026-02-19,6192.56689453125
2026-02-20,6306.54052734375
2026-02-23,6513.49267578125
2026-02-24,6343.53173828125
2026-02-25,6613.46923828125
2026-02-26,6532.48828125
2026-02-27,6998.38037109375
2026-03-02,6751.4375
2026-03-03,5883.63818359375
2026-03-04,6066.59619140625
2026-03-05,5951.62255859375
2026-03-06,5763.666015625
2026-03-09,5683.6845703125
2026-03-10,5928.6279296875
2026-03-11,5634.69580078125
2026-03-12,5825.65185546875
2026-03-13,5359.759765625
2026-03-16,5598.7041015625
2026-03-17,5659.68994140625
2026-03-18,5176.0
2026-03-19,4624.0
2026-03-20,4729.0
2026-03-23,4757.0
2026-03-24,4800.0
2026-03-25,5017.0
2026-03-26,4907.0
2026-03-27,4865.0
2026-03-30,4879.0
2026-03-31,5104.0
2026-04-01,5273.0
2026-04-02,5221.0
2026-04-07,5114.0
2026-04-08,5362.0
2026-04-09,5359.0
2026-04-10,5317.0
2026-04-13,5349.0
2026-04-14,5483.0
2026-04-15,5489.0
2026-04-16,5407.0
2026-04-17,5731.0
2026-04-20,5525.0
2026-04-21,5360.0
2026-04-22,5391.0
2026-04-23,5316.0
2026-04-24,5317.0
