date,value
2026-01-02,506.5
2026-01-05,512.5
2026-01-06,510.5
2026-01-07,518.0
2026-01-08,518.0
2026-01-09,517.25
2026-01-12,511.25
2026-01-13,510.5
2026-01-14,512.5
2026-01-15,510.5
2026-01-16,518.0
2026-01-20,510.25
2026-01-21,507.75
2026-01-22,515.5
2026-01-23,529.5
2026-01-26,522.5
2026-01-27,523.25
2026-01-28,536.0
2026-01-29,541.5
2026-01-30,538.0
2026-02-02,527.75
2026-02-03,528.75
2026-02-04,526.75
2026-02-05,535.25
2026-02-06,529.75
2026-02-09,528.75
2026-02-10,528.25
2026-02-11,537.25
2026-02-12,552.5
2026-02-13,548.75
2026-02-17,537.75
2026-02-18,547.0
2026-02-19,559.5
2026-02-20,580.25
